19.3599738,-99.239132,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,18/10/2021,01:20:00 p. m.,MALITZI
19.3728695,-99.206256,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,16/10/2021,05:30:00 p. m.,AV DEL ROSAL
19.393197,-99.206802,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,19/10/2021,07:05:00 p. m.,SAN MARTIN CABALLERO
19.3578241,-99.256171,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,18/10/2021,12:00:00 p. m.,IGNACIO ZARAGOZA
19.377746,-99.201617,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,19/10/2021,08:05:00 a. m.,FLOX
19.3768156,-99.197137,ROBO A NEGOCIO CON VIOLENCIA,20/10/2021,06:30:00 p. m.,BENVENUTO CELLINI
19.3614441,-99.23822,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,20/10/2021,08:08:00 p. m.,ALBATROS
19.3965094,-99.195626,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,20/10/2021,10:20:00 p. m.,HALCON
19.314033,-99.269988,ROBO A REPARTIDOR CON VIOLENCIA,20/10/2021,04:30:00 p. m.,CERRADA CERESO
19.3414633,-99.199246,ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,20/10/2021,06:30:00 p. m.,FRONTERA
19.3466847,-99.189128,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,17/10/2021,02:30:00 a. m.,AVENIDA DE LA PAZ
19.389795,-99.193078,ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,21/10/2021,03:15:00 p. m.,CENTRAL
19.3811612,-99.23951,VIOLACION,20/10/2021,06:00:00 p. m.,ROSALES
19.3611318,-99.189282,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,20/10/2021,08:00:00 p. m.,AVENIDA REVOLUCION
19.3990894,-99.195767,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,20/10/2021,01:00:00 p. m.,MINAS DE ARENA
19.3325225,-99.206232,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,22/10/2021,11:30:00 a. m.,AVENIDA SAN JERONIMO
19.357446,-99.249783,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,22/10/2021,09:30:00 a. m.,SAN ISIDRO ALTO LERMA
19.3443116,-99.183822,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,22/10/2021,02:50:00 a. m.,PASEO DEL RIO
19.3865521,-99.212765,VIOLACION,22/10/2021,04:30:00 a. m.,CHILENOS
19.3580683,-99.233996,ROBO A NEGOCIO CON VIOLENCIA,23/10/2021,07:25:00 p. m.,AVENIDA CENTENARIO NUMERO 25
19.3897784,-99.1931,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,22/10/2021,11:50:00 p. m.,CALLE 10
19.3806486,-99.199814,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,24/10/2021,02:50:00 a. m.,ROSA BLANCA
19.3780594,-99.211156,ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,22/10/2021,12:00:00 p. m.,AVENIDA CENTRAL FRENTE AL NUMERO 60
19.3321361,-99.244496,ROBO DE MOTOCICLETA SIN VIOLENCIA,24/10/2021,08:30:00 a. m.,AVENIDA DE LAS TORRES
19.3654529,-99.207794,ROBO DE MOTOCICLETA SIN VIOLENCIA,23/10/2021,08:30:00 p. m.,AVENIDA 5 DE MAYO
19.3734414,-99.195864,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,25/10/2021,10:00:00 p. m.,ROSA DE FUEGO
19.3282352,-99.271326,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,16/10/2021,03:00:00 a. m.,CEDROS
19.3569807,-99.250948,HOMICIDIO POR ARMA DE FUEGO,25/10/2021,11:20:00 a. m.,ANDADOR SOR JUANA INES DE LA CRUZ
19.3832768,-99.235059,ROBO DE MOTOCICLETA SIN VIOLENCIA,24/10/2021,03:00:00 p. m.,VASCO DE QUIROGA
19.32306,-99.215277,ROBO A CASA HABITACION CON VIOLENCIA,16/10/2021,04:06:00 a. m.,NUBES
19.3979022,-99.200232,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,22/10/2021,01:15:00 p. m.,CALLE LAS TORRES
19.3605329,-99.250331,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,26/10/2021,05:00:00 p. m.,MOCTEZUMA
19.3815605,-99.208783,ROBO A NEGOCIO CON VIOLENCIA,26/10/2021,03:15:00 p. m.,AVENIDA CHICAGO
19.3761356,-99.222483,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,26/10/2021,04:45:00 p. m.,ADOLFO DE LA HUERTA
19.3884496,-99.195175,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,27/10/2021,08:50:00 p. m.,ANCONITANOS
19.3864932,-99.223231,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,23/10/2021,04:30:00 p. m.,VASCO DE QUIROGA
19.3971928,-99.219224,ROBO A REPARTIDOR CON VIOLENCIA,27/10/2021,08:00:00 a. m.,AVENIDA CONSTITUYENTES
19.3753343,-99.22255,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,26/10/2021,07:00:00 p. m.,PUERTO YUCALTEPEN
19.3604211,-99.237324,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,27/10/2021,10:05:00 p. m.,URRACA
19.3834746,-99.234392,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,28/10/2021,10:50:00 a. m.,VASCO DE QUIROGA
19.3533248,-99.216897,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,28/10/2021,01:25:00 p. m.,ESCOLLO
19.3421998,-99.190824,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,28/10/2021,05:00:00 p. m.,AV REVOLUCION
19.3607651,-99.197092,ROBO A TRANSEUNTE SALIENDO DEL BANCO CON VIOLENCIA,21/10/2021,12:00:00 p. m.,CALZADA DE LOS LEONES
19.3463197,-99.190079,ROBO A PASAJERO A BORDO DE PESERO COLECTIVO SIN VIOLENCIA,28/10/2021,03:00:00 p. m.,AV ALTAVISTA
19.4013612,-99.200032,ROBO A TRANSEUNTE A BORDO DE TAXI PÚBLICO Y PRIVADO CON VIOLENCIA,27/10/2021,05:30:00 p. m.,SUR 122
19.3711521,-99.2295,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,29/10/2021,08:40:00 a. m.,PUERTO TECOLUTLA
19.3568517,-99.173179,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,29/10/2021,01:35:00 p. m.,AVENIDA UNIVERSIDAD
19.3733335,-99.214252,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,29/10/2021,05:55:00 p. m.,ERNESTO P. UCHURTO
19.3890035,-99.201704,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,29/10/2021,12:20:00 a. m.,JOSE EPINOZA
19.3949876,-99.18939,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,27/10/2021,06:30:00 p. m.,CALLE FELIPE MARTELL
19.3564907,-99.186563,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,28/10/2021,02:00:00 p. m.,JUVENTINO ROSAS
19.3751795,-99.233376,ROBO DE MOTOCICLETA SIN VIOLENCIA,28/10/2021,11:00:00 p. m.,AVENIDA VICENTE GUERRERO
19.327503,-99.256616,ROBO A NEGOCIO CON VIOLENCIA,29/10/2021,11:25:00 p. m.,MEXICO 68
19.3783319,-99.216618,LESIONES INTENCIONALES POR ARMA DE FUEGO,30/10/2021,08:45:00 p. m.,AMERICO VESPUCIO Y PEDRO DE MENDOZA
19.3743518,-99.213935,ROBO A NEGOCIO CON VIOLENCIA,29/10/2021,08:00:00 p. m.,HIDALGO
19.3666392,-99.198094,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,31/10/2021,02:30:00 a. m.,FRANCISCO P MIRANDA
19.3161111,-99.265874,ROBO DE MOTOCICLETA SIN VIOLENCIA,31/10/2021,04:00:00 a. m.,29 DE OCTUBRE
19.3874076,-99.215949,HOMICIDIO POR ARMA DE FUEGO,31/10/2021,01:10:00 a. m.,CAMINO A SANTA FE
19.3410506,-99.208209,ROBO DE MOTOCICLETA SIN VIOLENCIA,31/10/2021,06:50:00 p. m.,CIUDAD VICTORIA
19.388461,-99.195345,ROBO A NEGOCIO CON VIOLENCIA,01/11/2021,04:40:00 a. m.,TIENDA OXXO CALLE 4
19.3961844,-99.194656,ROBO DE MOTOCICLETA SIN VIOLENCIA,31/10/2021,03:30:00 a. m.,CALLE AGUILA FRENTE AL NUMERO 88
19.3965677,-99.212878,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,29/10/2021,01:00:00 p. m.,ACUEDUCTO
19.3666764,-99.261496,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,01/11/2021,03:30:00 p. m.,CAMINO A SANTA FE
19.3256208,-99.269669,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,01/11/2021,11:45:00 a. m.,COLORINES
19.3401318,-99.205853,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,01/11/2021,09:15:00 p. m.,CANALITO
